train_number,train_name,source,destination,running_days
20854,BHUBANESWAR EXP,CHENNAI CENTRAL,BHUBANESWAR,100
20858,SNSI PURI EXP,SAINAGAR SHIRDI,PURI,1
20861,PURI ADI EXP,PURI,AHMEDABAD JN,10000
20853,BBS CHENNAI EXP,BHUBANESWAR,CHENNAI CENTRAL,1000
20857,PURI SNSI EXP,PURI,SAINAGAR SHIRDI,100
20862,ADI PURI EXP,AHMEDABAD JN,PURI,100
20904,MAHAMANA EXPRESS,VARANASI JN,EKTA NAGAR,1000
20905,REWA MAHAMANA,EKTA NAGAR,REWA,100
20903,MAHAMANA EXPRESS,EKTA NAGAR,VARANASI JN,100000
20906,MAHAMANA EXPRESS,REWA,EKTA NAGAR,10
20908,SAYAJI NAGARI EXP,BHUJ,DADAR,1111111
20907,SAYAJI NAGARI EXP,DADAR,BHUJ,1111111
20910,KOCHUVELI EXP,PORBANDAR,TRIVANDRUM NORTH,1000
20909,PORBANDAR EXP,TRIVANDRUM NORTH,PORBANDAR,1
20914,DEE RJT EXP,DELHI S ROHILLA,RAJKOT JN,100
20913,RJT DEE EXPRESS,RAJKOT JN,DELHI S ROHILLA,1000
20919,MAS EKNR SF EXP,CHENNAI CENTRAL,EKTA NAGAR,100
20920,EKNR MAS EXPRESS,EKTA NAGAR,CHENNAI CENTRAL,10000
20925,SURAT AMI SF EXP,SURAT,AMRAVATI,1101
20921,BDTS LJN EXPRESS,BANDRA TERMINUS,LUCKNOW NE,10
20927,PNU BHUJ EXP,PALANPUR JN,BHUJ,1111111
20930,BSBS UDN EXP,BANARAS,UDHNA JN,1
20922,LJN BDTS EXP,LUCKNOW NE,BANDRA TERMINUS,1
20931,KCVL INDORE EXP,TRIVANDRUM NORTH,INDORE JN BG,100
20929,UDN BANARAS EXP,UDHNA JN,BANARAS,100
20932,INDB KCVL EXP,INDORE JN BG,TRIVANDRUM NORTH,100000
20933,DANAPUR EXPRESS,UDHNA JN,DANAPUR,100010
20935,GIMB INDB SFAST,GANDHIDHAM BG,INDORE JN BG,1000000
20937,PBR DEE EXPRESS,PORBANDAR,DELHI S ROHILLA,100010
20939,SULTANPUR EXP,SABARMATI BG,SULTANPUR,100000
20936,INDB GIMB SFAST,INDORE JN BG,GANDHIDHAM BG,1
20940,SLN SBIB SF EXP,SULTANPUR,SABARMATI BG,10000
20938,DEE PBR EXPRESS,DELHI S ROHILLA,PORBANDAR,1001000
20941,BDTS GCT EXP,BANDRA TERMINUS,GHAZIPUR CITY,101
20945,EKNR NZM S KARNTI,EKTA NAGAR,H NIZAMUDDIN,1010
20942,GCT BDTS SF EXP,GHAZIPUR CITY,BANDRA TERMINUS,100001
20953,MAS ADI EXPRESS,CHENNAI CENTRAL,AHMEDABAD JN,1
20954,ADI CHENNAI EXP,AHMEDABAD JN,CHENNAI CENTRAL,10
20951,OKHA JAIPUR SF EXP,OKHA,KHATIPURA,1000000
20952,JP OKHA SF EXP,KHATIPURA,OKHA,100000
20946,NZM EKNR S KARNTI,H NIZAMUDDIN,EKTA NAGAR,101
20957,INDB HSR SUP,INDORE JN BG,HISAR,10101
20958,HSR INDB SUP,HISAR,INDORE JN BG,1001010
20962,BSBS UDN SF EXP,BANARAS,UDHNA JN,10000
20963,SBIB BSB S FAST,SABARMATI BG,VARANASI JN,1000
20961,UDN BSBS SFAST,UDHNA JN,BANARAS,100000
20959,BL VADNAGAR SUP,VALSAD,VADNAGAR,1111111
20960,VDG VALSAD SUP,VADNAGAR,VALSAD,1111111
20964,BSB SBIB EXPRESS,VARANASI JN,SABARMATI BG,10
20966,SABARMATI INCITY,BHAVNAGAR TRMUS,GANDHIGRAM,1111111
20965,BVC INTERCITY,GANDHIGRAM,BHAVNAGAR TRMUS,1111111
20967,SC PBR SF EXP,SECUNDERABAD JN,PORBANDAR,10000
20968,PBR SC SF EXP,PORBANDAR,SECUNDERABAD JN,100000
20976,CHAMBAL EXP,AGRA CANTT,HOWRAH JN,1000
20972,SHM UDZ EXPRESS,SHALIMAR,UDAIPUR CITY,1
20975,CHAMBAL EXP,HOWRAH JN,AGRA CANTT,100000
20983,BHUJ DEE SF EXP,BHUJ,DELHI S ROHILLA,100100
20971,UDZ SHM EXP,UDAIPUR CITY,SHALIMAR,10
20984,DEE BHUJ SF EXP,DELHI S ROHILLA,BHUJ,10010
20986,UHP KOTA EXP,MTYR C TUSHAR MAHAJAN,KOTA JN,1000
20987,UDZ ASV SF EXP,UDAIPUR CITY,ASARVA JN,1111111
20992,DD AJMER SF,DAUND JN,AJMER JN,100
20988,ASV UDZ SF EXP,ASARVA JN,UDAIPUR CITY,1111111
20990,CDG UDZ SF EXP,CHANDIGARH,UDAIPUR CITY,1001
20989,UDZ CDG SF EXP,UDAIPUR CITY,CHANDIGARH,10010
20996,BDTS AII SF,BANDRA TERMINUS,AJMER JN,1
21125,INDORE BHIND EXP,RATLAM JN,BHIND,100110
21126,BIX RTM EXP,BHIND,RATLAM JN,10011
21903,BDTS BKN SUP EXP,BANDRA TERMINUS,BIKANER JN,1000000
21904,BKN BDTS SF,BIKANER JN,BANDRA TERMINUS,10000
21908,KGM MMCT EXP,KATHGODAM,MUMBAI CENTRAL,1000
21907,MMCT KGM SF EXP,MUMBAI CENTRAL,KATHGODAM,10000
22102,MDU LTT SF EXP,MADURAI JN,LOKMANYATILAK T,100
22101,LTT MDU SF EXP,LOKMANYATILAK T,MADURAI JN,10000
22103,LTT AYODHYA SF EXP,LOKMANYATILAK T,AYODHYA CANT,1000000
22105,INDRAYANI EXP,C SHIVAJI TERM MUMBAI,PUNE JN,1111111
22104,AYC LTT SF EXP,AYODHYA CANT,LOKMANYATILAK T,100000
22106,INDRAYANI EXP,PUNE JN,C SHIVAJI TERM MUMBAI,1111111
22107,CSMT LATUR EXP,C SHIVAJI TERM MUMBAI,LATUR,1101001
22108,LATUR CSMT EXP,LATUR,C SHIVAJI TERM MUMBAI,1110100
